drug,symptom,indication
50,107,0.0
585,87,1.0
22,87,1.0
549,7,0.0
594,88,0.0
742,123,1.0
123,88,1.0
196,78,0.0
546,39,0.0
327,115,0.0
318,87,1.0
184,66,1.0
42,67,1.0
190,12,0.0
674,133,0.0
68,121,0.0
487,9,0.0
256,86,0.0
114,87,1.0
675,53,1.0
294,97,0.0
570,155,0.0
199,68,1.0
608,123,1.0
677,10,0.0
449,70,0.0
226,53,1.0
731,108,0.0
577,43,0.0
251,70,0.0
683,19,0.0
105,1,1.0
194,123,1.0
206,28,1.0
736,4,0.0
349,51,0.0
554,52,0.0
612,11,0.0
38,13,0.0
735,109,0.0
389,50,0.0
357,139,0.0
234,87,1.0
594,75,1.0
306,138,1.0
283,142,0.0
570,28,1.0
149,66,1.0
433,75,1.0
295,87,1.0
795,19,0.0
294,76,0.0
774,87,1.0
105,87,1.0
430,9,0.0
314,53,1.0
535,153,0.0
282,161,0.0
308,109,0.0
566,63,1.0
127,87,1.0
215,87,1.0
394,140,0.0
750,105,0.0
451,87,1.0
253,87,1.0
570,8,1.0
372,43,0.0
316,121,0.0
464,23,1.0
78,90,1.0
667,85,0.0
279,88,1.0
275,87,1.0
81,1,1.0
336,67,1.0
342,110,1.0
53,7,0.0
731,70,0.0
263,168,1.0
209,150,0.0
388,75,1.0
177,53,0.0
636,68,1.0
719,73,0.0
45,103,0.0
265,4,0.0
301,108,1.0
738,80,0.0
607,108,1.0
755,116,0.0
626,150,0.0
363,67,1.0
527,28,1.0
388,68,1.0
286,16,0.0
341,87,1.0
139,112,0.0
584,30,0.0
160,48,0.0
354,110,1.0
647,60,1.0
703,46,0.0
266,104,0.0
87,71,0.0
736,77,0.0
728,110,1.0
633,108,1.0
367,75,1.0
435,85,0.0
141,8,1.0
483,68,1.0
385,67,1.0
599,67,1.0
704,73,0.0
146,124,0.0
298,153,0.0
636,88,1.0
6,166,0.0
596,50,0.0
765,16,0.0
226,87,1.0
588,42,0.0
791,132,0.0
578,17,0.0
501,87,1.0
3,147,0.0
24,150,0.0
273,69,0.0
651,104,0.0
416,115,0.0
500,75,1.0
427,87,1.0
327,87,1.0
7,53,1.0
290,71,0.0
461,154,0.0
645,47,0.0
487,87,1.0
367,119,0.0
21,1,1.0
341,75,1.0
353,53,1.0
117,110,1.0
784,168,0.0
86,9,0.0
670,72,0.0
758,88,1.0
99,28,1.0
523,14,0.0
766,160,0.0
