drug,symptom,indication
246,52,0.0
248,40,0.0
190,12,0.0
68,121,0.0
487,9,0.0
223,118,1.0
608,123,1.0
677,10,0.0
88,169,0.0
683,19,0.0
194,123,1.0
206,28,1.0
736,4,0.0
349,51,0.0
554,52,0.0
735,109,0.0
389,50,0.0
357,139,0.0
283,142,0.0
171,62,0.0
570,28,1.0
795,19,0.0
430,9,0.0
282,161,0.0
232,166,0.0
566,63,1.0
393,113,0.0
29,5,0.0
35,42,0.0
316,121,0.0
265,4,0.0
527,28,1.0
139,112,0.0
160,48,0.0
377,42,0.0
703,46,0.0
266,104,0.0
290,34,0.0
668,9,0.0
772,56,0.0
146,124,0.0
454,79,0.0
712,46,1.0
596,50,0.0
588,42,0.0
791,132,0.0
651,104,0.0
763,141,0.0
534,14,1.0
645,47,0.0
779,118,1.0
86,9,0.0
670,72,0.0
99,28,1.0
173,58,1.0
601,81,0.0
776,6,0.0
200,89,0.0
372,40,0.0
754,166,0.0
566,4,0.0
169,89,0.0
137,74,1.0
639,42,0.0
106,24,0.0
739,28,1.0
39,24,0.0
754,44,0.0
292,2,0.0
378,14,1.0
537,152,0.0
249,19,0.0
683,74,0.0
32,14,1.0
515,128,0.0
24,125,0.0
172,109,0.0
629,32,0.0
22,173,1.0
376,132,1.0
533,124,0.0
27,24,0.0
332,56,0.0
328,59,0.0
752,159,0.0
588,141,0.0
346,27,0.0
34,10,0.0
116,124,0.0
232,14,1.0
322,64,0.0
425,118,0.0
178,102,0.0
585,62,0.0
95,146,0.0
94,15,1.0
264,136,0.0
566,132,1.0
549,74,0.0
444,173,1.0
186,113,0.0
171,164,0.0
4,74,1.0
23,14,0.0
298,83,0.0
107,48,0.0
255,172,0.0
162,164,0.0
506,47,0.0
120,132,0.0
681,26,0.0
355,118,1.0
246,139,0.0
26,81,0.0
235,146,0.0
532,120,0.0
42,59,0.0
683,32,0.0
590,6,0.0
673,5,0.0
252,40,0.0
360,74,0.0
470,157,0.0
703,52,0.0
765,61,0.0
242,132,0.0
675,61,0.0
743,63,0.0
478,63,0.0
