drug,symptom,indication
427,60,0.0
588,170,0.0
359,149,0.0
24,10,0.0
279,139,0.0
328,1,1.0
527,1,1.0
5,88,1.0
728,87,1.0
81,25,0.0
568,75,1.0
596,12,0.0
564,87,1.0
717,60,1.0
475,90,1.0
427,115,0.0
698,110,1.0
159,53,1.0
356,66,1.0
4,33,1.0
4,8,1.0
1,8,0.0
266,141,0.0
646,143,0.0
627,159,0.0
264,68,1.0
294,87,1.0
394,53,1.0
126,112,0.0
379,112,0.0
573,153,0.0
321,110,1.0
113,46,0.0
470,147,0.0
562,66,0.0
190,110,1.0
159,110,1.0
695,66,1.0
625,97,0.0
580,158,0.0
516,88,1.0
460,123,0.0
207,88,1.0
353,87,1.0
375,67,1.0
682,67,1.0
409,76,0.0
219,93,0.0
682,86,0.0
523,14,0.0
487,93,1.0
632,131,0.0
162,164,0.0
25,87,1.0
42,10,0.0
355,87,1.0
513,66,0.0
264,110,1.0
270,120,0.0
224,27,0.0
534,123,1.0
75,47,0.0
223,87,1.0
224,129,0.0
262,30,0.0
97,37,0.0
261,75,1.0
440,123,1.0
551,105,0.0
573,173,0.0
284,125,0.0
608,156,0.0
666,165,0.0
588,70,0.0
31,87,1.0
615,33,1.0
567,13,0.0
658,32,0.0
677,3,0.0
186,97,0.0
254,169,0.0
377,17,0.0
14,33,1.0
278,26,0.0
180,132,0.0
797,131,0.0
286,125,0.0
766,132,0.0
107,90,0.0
599,75,1.0
620,94,0.0
408,110,1.0
123,67,1.0
488,8,1.0
459,66,0.0
19,10,0.0
193,51,1.0
191,100,0.0
788,75,1.0
45,67,1.0
455,171,0.0
588,53,1.0
294,97,0.0
788,110,1.0
461,90,1.0
722,23,0.0
555,75,1.0
310,172,0.0
149,110,1.0
372,43,0.0
31,75,1.0
615,1,1.0
14,1,1.0
302,110,1.0
701,21,0.0
422,160,0.0
301,67,1.0
473,149,0.0
443,53,1.0
151,75,1.0
92,127,0.0
476,135,0.0
487,78,0.0
540,68,1.0
698,90,1.0
620,110,1.0
784,84,0.0
728,68,1.0
232,166,0.0
360,74,0.0
742,123,1.0
9,100,0.0
2,97,0.0
757,68,1.0
539,108,0.0
755,116,0.0
461,147,1.0
206,28,1.0
112,88,1.0
269,67,1.0
777,75,1.0
258,91,0.0
738,37,0.0
341,108,1.0
78,90,1.0
421,87,1.0
99,14,0.0
501,87,1.0
410,1,0.0
788,66,1.0
268,83,0.0
516,118,1.0
363,36,0.0
590,74,0.0
509,62,0.0
537,75,1.0
120,36,0.0
505,87,1.0
24,37,0.0
316,87,1.0
430,87,1.0
206,87,1.0
416,154,1.0
350,151,0.0
386,164,0.0
215,75,1.0
13,120,0.0
732,87,1.0
656,68,1.0
264,136,0.0
372,117,0.0
432,20,0.0
363,1,1.0
301,68,1.0
794,75,1.0
542,7,0.0
225,2,0.0
536,54,0.0
554,52,0.0
145,24,0.0
152,170,0.0
329,33,1.0
464,87,1.0
538,75,1.0
396,46,0.0
348,162,0.0
682,8,1.0
483,87,1.0
568,170,0.0
591,115,0.0
128,87,1.0
266,115,0.0
736,105,0.0
45,108,1.0
661,110,1.0
522,128,0.0
592,59,0.0
17,75,1.0
269,6,0.0
207,90,1.0
275,53,1.0
597,161,0.0
506,152,0.0
464,108,1.0
116,87,1.0
202,29,0.0
434,75,1.0
512,75,1.0
60,75,1.0
496,62,0.0
62,68,1.0
585,90,1.0
35,60,1.0
522,68,1.0
361,118,1.0
118,6,0.0
54,88,1.0
5,119,0.0
550,83,0.0
43,33,0.0
536,42,0.0
114,90,1.0
755,66,1.0
682,53,1.0
273,137,1.0
687,68,1.0
633,138,1.0
670,137,0.0
718,15,0.0
20,61,0.0
383,167,0.0
216,75,1.0
750,68,1.0
58,139,0.0
377,42,0.0
535,153,0.0
21,87,1.0
545,75,1.0
605,87,1.0
621,29,1.0
464,23,1.0
552,68,1.0
246,136,0.0
444,79,0.0
666,75,1.0
193,75,1.0
737,43,1.0
239,95,0.0
7,75,1.0
666,131,0.0
235,146,0.0
288,169,0.0
473,110,1.0
127,110,1.0
173,91,0.0
8,123,1.0
66,11,1.0
364,154,1.0
363,138,0.0
289,138,0.0
686,163,0.0
263,88,1.0
99,68,1.0
647,74,1.0
159,1,1.0
607,87,1.0
355,11,1.0
332,75,1.0
588,75,1.0
12,68,1.0
683,51,0.0
159,33,1.0
633,87,1.0
374,87,1.0
517,80,0.0
623,77,0.0
186,18,0.0
444,168,1.0
338,53,1.0
706,29,1.0
242,132,0.0
741,26,0.0
655,33,0.0
7,28,1.0
136,111,0.0
544,28,1.0
735,70,0.0
7,106,0.0
262,90,0.0
521,110,1.0
114,75,1.0
538,53,1.0
784,15,0.0
443,3,0.0
138,70,0.0
354,49,0.0
524,14,1.0
265,75,1.0
330,59,0.0
318,75,1.0
672,119,1.0
776,74,0.0
296,1,1.0
437,45,0.0
667,65,0.0
793,110,1.0
195,75,1.0
566,34,0.0
54,75,1.0
667,1,0.0
554,24,0.0
561,67,1.0
138,11,1.0
